"language"," filename"," LOC"
"java","Sorting.java"," 7"
"java","StopWordsFilter.java"," 11"
"java","CsvInput.java"," 35"
"java","WordFilter.java"," 3"
"java","Controller.java"," 65"
"java","Input.java"," 5"
"java","TextOutput.java"," 27"
"java","ConsoleOutput.java"," 10"
"java","AlphabetSort.java"," 30"
"java","Output.java"," 4"
"java","OptionReader.java"," 42"
"java","CircularShift.java"," 18"
"java","KWICObjectLoader.java"," 21"
"java","IndexGenerator.java"," 41"
"java","TextInput.java"," 35"
"java","Shift.java"," 4"
"java","Formatter.java"," 48"
"java","Sentence.java"," 18"
"java","KeywordSearch.java"," 28"
