"FileName","LOC","FanIn","FanOut","DistinctIssueCount","TargetChangeCount","TargetChurn","ChangeCount","ChangeChurn","numClique","numCrossing","isCenter","numModularityViolation","numPackageCycle","numUnhealthyInheritance","numUnstableInterface","isUnstableInterface"
"Formatter.java","48","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Output.java","4","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"OptionReader.java","42","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"IndexGenerator.java","41","2","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Input.java","5","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CsvInput.java","35","0","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"StopWordsFilter.java","11","1","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"KWICObjectLoader.java","21","1","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"TextInput.java","35","0","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"WordFilter.java","3","3","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"AlphabetSort.java","30","1","2","0","0","0","0","0","0","0","false","0","0","1","0","false"
"ConsoleOutput.java","10","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Shift.java","4","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"Sorting.java","7","2","0","0","0","0","0","0","0","0","false","0","0","1","0","false"
"KeywordSearch.java","28","1","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Sentence.java","18","8","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"CircularShift.java","18","1","2","0","0","0","0","0","0","0","false","0","0","1","0","false"
"TextOutput.java","27","0","1","0","0","0","0","0","0","0","false","0","0","0","0","false"
"Controller.java","65","0","12","0","0","0","0","0","0","0","false","0","0","2","0","false"
